APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,improper text embedding,/,"
The Chinese data queried in the chat is garbled.",IC,dbgpt/app/scene/chat_agent/out_parser.py,"1.Enter the Chat Data scene and upload a Chinese data file.
2.During the conversation, the bot returns garbled Chinese data from the file.
3.Viewing the Chinese file in the database shows it displays normally."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,Out-of-sync LLM downstream tasks,/,when use gpt-4 upload ChatExcel，generate json error,"ST,IC",dbgpt/app/openapi/api_v1/api_v1.py,"1.In the Chat Excel scenario, upload a large xlsx file (you can use the test file provided here: https://github.com/eosphoros-ai/DB-GPT/issues/1337).
2.Use GPT-4.
3.The JSON generation is too slow, causing it to be incomplete and resulting in a JSON parsing error."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,Imprecise knowledge retrieval,/,"Optimize api for query all knowledge spaces.When the number of spaces exceeds ten, it will be very slow. If there are more than ten, the results will not even be queried.","SL,TK","
dbgpt/app/knowledge/document_db.py/get_knowledge_documents_count_bulk
DB-GPT-dbgpt/app/knowledge/space_db.py/get_knowledge_space","1.Create more than 10 knowledge spaces.
2.Upload files to each knowledge space.
3.The response process of the /knowledge/space/list interface is very slow, making it difficult to promptly view the number of documents for each space."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,resource contention,/,An asynchronous programming error occurred while testing the chat data mode using Python SDK,ST,"dbgpt/vis/client.py
The developer suggests the user to add client.aclose() in test code.","1.Install and configure DB-GPT using Docker.
2.Test the chat data mode using Python SDK. The test code is as follows：

import asyncio
from dbgpt.client import Client
async def main():
# initialize client
DBGPT_API_KEY = """"
client = Client(api_key=DBGPT_API_KEY)
#async for data in client.chat_stream(
# model=""tongyi_proxyllm"",
# messages=""hello"",
#):
# print(data)
res = await client.chat(model=""tongyi_proxyllm"" ,messages=""hello"")
print(res)
if name == ""main"":
asyncio.run(main())"
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,inefficient memory management,case1,"When using DB-GPT, with the continuous questioning, CUDA memory has been increasing until memory exploded","ST,IC",/,"1.Follow the tutorial to deploy DB-GPT on the ubuntu machine (https://github.com/eosphoros-ai/DB-GPT/README.md) (24g single-card GPU)
2.Continue to ask questions
3.Observe that CUDA memory kept increasing until memory exploded"
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case2,The metadata of the database cannot be updated,"IC,SL","dbgpt/storage/metadata/db_storage.py
dbgpt/app/base.py/_initialize_db_storage","1. Enter the ""Chat Data"" scene.The user  added a MySQL data source named dbgpt_test and tried to do some data conversations.
2. The user found that the effect was not ideal, and the large language model often gave some incorrect queries. Therefore, he/she/they tried to modify the table structure to generate more accurate SQL.
3. The user found that the table structure in the new prompt sent was still the same, even if he/she/they tried again the next day. The new table structure will only appear in the new prompt when he/she/they create and add a new database."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case3,in auto_plan multi-agent mode，memory did not work,IC,"dbgpt/serve/agent/team/plan/team_auto_plan.py/a_process_rely_message
dbgpt/agent/memory/gpts_memory.py
dbgpt/serve/agent/team/layout/agent_operator.py","1.Use the test data provided in the official documentation, with the agent only using DataScientist. 
2.Count the number of men and women in each country and display it using an appropriate chart."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case4,Vicuna-13b-1.5 model consumes memory with no limitation on Mac,SL,/,"1.Download vicuna-13b-v1.5 model files from https://huggingface.co/lmsys/vicuna-13b-v1.5
2.Start dbgpt_server.py on Mac with M2/M2 max/M2 ultra
3.Create the App according to https://www.yuque.com/eosphoros/dbgpt-docs/aiagvxeb86iarq6r
4.Input ""Please group orders by product category to calculate total sales, average sales, and number of transactions"" in the text field, the App would inference the result.
5.The consumed memory on the device will increase continually."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,Unclear context in prompt,case1,"When using ""Chat Knowledge"", answers may include information not present in the knowledge documents, often resulting in fabricated or nonsensical responses.",IC,"YP-GPT/dbgpt/app/scene/chat_knowledge/chat.py, prompt.py","1.Enter the ""Chat Knowledge"" scene
2.Upload knowledge documents in md format
3.Start the conversation"
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,,case2,The response generated by the LLM does not reference the knowledge base.,IC,"YP-GPT/dbgpt/app/scene/chat_knowledge/chat.py, prompt.py","1.Enter the Chat Knowledge scenario.
2.Upload a .txt knowledge file to the knowledge base.
3.Ask a question about the file. In the background, it can be observed that the content from the .txt file has been converted into a prompt and sent to the LLM, but the LLM's response does not reference the knowledge file.

llm: chatglm-6b."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,lacking restrictions in prompt,/,Application error: a client-side exception has occurred,"IC,SL",YP-GPT/dbgpt/core/interface/output_parser.py,"1.Enter the ""Chat Data"" scenario and ask a question that cannot generate an SQL query.
2.The bot responds, ""The provided table structure information is insufficient to generate an SQL query."" Meanwhile, the frontend displays: ""Application error: a client-side exception has occurred (see the browser console for more information),"" affecting users's seamless experience."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,insufficient history management,case1,Cannot view previous chat records.,IC,YP-GPT/dbgpt/app/scene/chat_dashboard,"1.Enter the ""Dashboard"" scene.
2.Attempt to view previous chats, but their chat reports cannot be viewed."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,,case2,"The ""Reporter"" lacks historical messages, Missing Context Information in Interactions with Large Language Model",IC,YP-GPT/dbgpt/agent/agents/expand/dashboard_assistant_agent.py,"1.Write a data analysis assistant application through Multi-Agents. (follow:https://www.yuque.com/eosphoros/dbgpt-docs/owcrh9423f9rqkg2#LYjPt)
2.Input : ""Generate three sales reports, analyze user orders, and conduct analysis from at least three dimensions."""
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,,case3,The return result of the _load_history_messages function only includes the first question of the conversation.,IC,YP-GPT/dbgpt/pilot/scene/base_chat.py/class BaseChat(ABC)/chat_retention_rounds,"1.Enter the Chat Data scenario.
2.Engage in multiple rounds of conversation.
3.Observe the return value of the _load_history_messages function in the log. The function's return result only includes the first question of the conversation."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,Missing LLM input format validation,case1,can't handle excel with multi sheet,IC,YP-GPT/dbgpt/app/scene/chat_data/chat_excel/excel_reader.py,"
1.Enter the ChatExcel scenario.
2.Upload an xlsx file containing multiple sheets.
3.DB-GPT does not handle xlsx files with multiple sheets clearly."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,,case2,Can not upload big size csv file.,SL,"YP-GPT/dbgpt/app/knowledge/api.py
dbgpt/rag/index/base.py","1.Add knowledge.
2.Upload documents.
3.Selcted csv file (which is bigger than 200KB)"
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,,case3,No possibility to chat with excel (always return errors),"ST,IC",YP-GPT/dbgpt/pilot/scene/chat_data/chat_excel,"1.Enter the Chat Excel scenario.
2.Upload a .xlsx or .csv file.
3.Attempt to converse with the bot. A ""not allowed"" sign appears while typing; sometimes chatting works, but the answer always starts with an ERROR message and afterwards it returns a correct answer: ""Error! LLM response can't parse!""
4.Also in the analysis of the document, chinese letters and english letters mixed."
yanll/YP-GPT,https://github.com/yanll/YP-GPT/tree/6df9f79f694ba4aaf0dc84867cd44e66c062c99f,,case4,exception when chat with ppt doc,"ST,IC",YP-GPT/dbgpt/pilot/scene/chat_knowledge/v1/chat.py/generate_input_values,"1.Create a new chat knowledge with ppt
2.Upload and wait for Synch
3.Chat with this new space
4.Error occured unexpectedly. when chat via web console，exception raised:
  File ""d:\code\db-gpt\pilot\openapi\api_v1\api_v1.py"", line 449, in stream_generator
    async for chunk in chat.stream_call():
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 61, in stream_call
    input_values = self.generate_input_values()
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 95, in generate_input_values
    set([os.path.basename(d.metadata.get(""source"", """")) for d in docs])
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 95, in <listcomp>
    set([os.path.basename(d.metadata.get(""source"", """")) for d in docs])
  File ""C:\Users\Peter\miniconda3\envs\dbgpt_env\lib\ntpath.py"", line 242, in basename
    return split(p)[1]
  File ""C:\Users\Peter\miniconda3\envs\dbgpt_env\lib\ntpath.py"", line 211, in split
    p = os.fspath(p)
TypeError: expected str, bytes or os.PathLike object, not int

And returned error is:
Sorry, We meet some error, please try agin later."
